timestamp,pid,cpu_seconds,working_set_mb,private_memory_mb
2026-05-21T12:51:09.9435370+05:30,1556,0.28,43.14,50.62
2026-05-21T12:51:10.0836088+05:30,2208,0.45,45.19,19.96
2026-05-21T12:51:10.0915850+05:30,2572,10.55,81.32,62.61
2026-05-21T12:51:10.0996054+05:30,2964,0.25,44.1,50.38
2026-05-21T12:51:10.1074099+05:30,7056,0.22,48.96,55.09
2026-05-21T12:51:10.1140968+05:30,8368,0.33,37.77,50.48
2026-05-21T12:51:10.1201572+05:30,13468,64.98,99.55,107.72
2026-05-21T12:51:10.1272850+05:30,24412,1.36,104.2,119.39
2026-05-21T12:51:10.1335276+05:30,25028,2.09,88.86,94.89
2026-05-21T12:51:15.1557421+05:30,1556,0.28,43.14,50.62
2026-05-21T12:51:15.1567488+05:30,2572,10.55,81.32,62.61
2026-05-21T12:51:15.1684238+05:30,2964,0.25,44.1,50.38
2026-05-21T12:51:15.1770725+05:30,7056,0.25,44.09,50.8
2026-05-21T12:51:15.1855023+05:30,8368,0.33,37.77,50.48
2026-05-21T12:51:15.1933595+05:30,13468,66.97,129.86,141.13
2026-05-21T12:51:15.2017041+05:30,21384,1.27,95.98,112.02
2026-05-21T12:51:15.2111518+05:30,24412,1.56,83.6,89.94
2026-05-21T12:51:15.2209296+05:30,25028,2.09,88.86,94.89
2026-05-21T12:51:20.2534046+05:30,1556,0.28,43.14,50.62
2026-05-21T12:51:20.2554103+05:30,2572,10.55,81.32,62.61
2026-05-21T12:51:20.2757124+05:30,2964,0.25,44.1,50.38
2026-05-21T12:51:20.2922653+05:30,7056,0.25,44.09,50.8
2026-05-21T12:51:20.3230440+05:30,8368,0.33,37.77,50.48
2026-05-21T12:51:20.3420216+05:30,10232,0.8,61.45,35.23
2026-05-21T12:51:20.3601124+05:30,13468,69.16,133.04,144.32
2026-05-21T12:51:20.3937870+05:30,20068,0.67,57.98,32.01
2026-05-21T12:51:20.4118835+05:30,20632,0.75,57.72,31.41
2026-05-21T12:51:20.4442729+05:30,22136,0.7,57.85,31.93
2026-05-21T12:51:20.5175323+05:30,23144,0.75,57.44,31.66
2026-05-21T12:51:20.5396923+05:30,24412,1.88,95.3,105.7
2026-05-21T12:51:20.5507867+05:30,25028,2.09,88.86,94.89
2026-05-21T12:51:20.5653263+05:30,25288,0.98,59.62,33.75
2026-05-21T12:51:20.5691777+05:30,25540,0.83,60.71,34.02
2026-05-21T12:51:20.5891474+05:30,26024,0.78,57.65,31.51
2026-05-21T12:51:20.6008067+05:30,26820,0.75,57.68,32.1
2026-05-21T12:51:20.6092946+05:30,27120,0.78,58.3,31.84
2026-05-21T12:51:20.6198019+05:30,27164,0.88,60.31,33.95
2026-05-21T12:51:25.6498697+05:30,1556,0.28,43.14,50.62
2026-05-21T12:51:25.6504878+05:30,2572,10.55,81.32,62.61
2026-05-21T12:51:25.6584327+05:30,2964,0.25,44.1,50.38
2026-05-21T12:51:25.6682729+05:30,7056,0.25,44.09,50.8
2026-05-21T12:51:25.6753431+05:30,8368,0.33,37.77,50.48
2026-05-21T12:51:25.6819534+05:30,13468,71.47,134.76,147.15
2026-05-21T12:51:25.6914675+05:30,24412,11.3,280.7,294.75
2026-05-21T12:51:25.6998877+05:30,25028,2.09,88.86,94.89
2026-05-21T12:51:30.7232773+05:30,1556,0.28,43.14,50.62
2026-05-21T12:51:30.7232773+05:30,2572,10.55,81.32,62.61
2026-05-21T12:51:30.7296767+05:30,2964,0.25,44.07,50.32
2026-05-21T12:51:30.7405188+05:30,8368,0.33,37.77,50.48
2026-05-21T12:51:30.7501757+05:30,13468,73.47,137.38,148.67
2026-05-21T12:51:30.7623127+05:30,25028,2.09,88.86,94.89
2026-05-21T12:51:35.7889180+05:30,2572,10.55,81.32,62.61
